Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm15	3642339.33170444
perm37	3656458.95034805
perm5	3661169.53126403
perm11	3661363.4063746
perm9	3661640.98005729
perm47	3661652.70103479
perm28	3661666.50286949
perm29	3661666.50286949
perm10	3661666.66547998
perm43	3661666.66547998
perm40	3661687.20543344
perm18	3661687.48490638
perm20	3661689.87329787
perm21	3661701.63038196
perm7	3661711.15089921
perm24	3661712.13725808
perm36	3661717.04248594
perm45	3661729.70152435
perm26	3661752.93841821
perm30	3661759.96970735
perm44	3661767.00477995
perm39	3661807.04599182
perm49	3662240.89548707
perm35	3662244.35147052
perm50	3662793.52425657
perm33	3663491.97701847
perm13	3664613.97124976
perm3	3664648.50108771
perm42	3668405.34852975
perm19	3672710.12594307
perm22	3687177.54631732
perm1	3689970.57704289
perm14	3691090.88300975
perm25	3693702.59674374
perm46	3698801.74677723
perm38	3704133.81173803
perm32	3709186.40732545
perm34	3740835.14217612
perm4	3755979.07123785
perm2	3763785.45193389
perm27	3797866.12118331
perm48	3799270.42041926
perm12	3868132.69886044
perm31	3868828.076805
perm41	4310311.91798873
perm17	4454493.70290163
perm23	4474556.35103038
perm6	4487795.47768933
perm16	4570070.70255422
perm8	4643460.77910738
