Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen29perm13 1901.6578792091729611 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.43556623e+00 1.00671776e-02
gen29perm34 1908.4219802337777310 2.59804432e+00 9.31555656e-01 3.19775504e-03 7.69902255e-01 2.88913757e+00 9.43521825e-03
gen29perm28 1908.4239749231012411 2.59804432e+00 9.31557479e-01 3.19775504e-03 8.94134919e-01 3.59046335e+00 9.43002891e-03
gen29perm33 1908.4299816656221083 2.59804432e+00 9.27394252e-01 3.19775504e-03 7.03092864e-01 3.45225815e+00 9.43002891e-03
gen29perm3 1908.4339996031353621 2.59804432e+00 1.01991069e+00 3.19775504e-03 7.69902255e-01 3.59046335e+00 9.43002891e-03
gen29perm41 1908.4350570738388342 2.59804432e+00 9.27394252e-01 3.19775504e-03 7.69902255e-01 2.69398732e+00 9.43521825e-03
gen29perm15 1908.4371017820067209 2.59804432e+00 1.04802163e+00 3.19775504e-03 8.10483540e-01 3.59046335e+00 9.43002891e-03
gen29perm17 1908.4517450779690080 2.59804432e+00 9.81066444e-01 3.19775504e-03 7.44299720e-01 3.16989195e+00 9.43002891e-03
gen29perm16 1908.4586717127558586 2.59804432e+00 9.02046723e-01 3.19775504e-03 7.44299720e-01 2.94129889e+00 9.43002891e-03
gen29perm7 1908.4739339502336861 2.59804432e+00 1.03803509e+00 3.19775504e-03 6.79911655e-01 2.94129889e+00 9.43002891e-03
gen29perm1 1908.4770393998946929 2.59804432e+00 9.44432828e-01 3.19775504e-03 3.92714851e-03 2.94129889e+00 9.43002891e-03
gen29perm27 1908.4779393116150459 2.59804432e+00 1.04802163e+00 3.19775504e-03 7.44299720e-01 2.90408723e+00 9.43002891e-03
gen29perm38 1908.4827848753197941 2.59804432e+00 1.11667259e+00 3.19775504e-03 7.69902255e-01 2.94129889e+00 9.43002891e-03
gen29perm50 1908.4848541971598479 2.59804432e+00 9.44432828e-01 3.19775504e-03 7.44299720e-01 2.69398732e+00 9.43002891e-03
gen29perm5 1908.4851360270365603 2.59871415e+00 9.02046723e-01 3.19775504e-03 7.69902255e-01 2.69398732e+00 9.43002891e-03
gen29perm11 1908.4889992330377027 2.59804432e+00 9.81066444e-01 3.19775504e-03 7.69902255e-01 2.69398732e+00 9.43002891e-03
gen29perm23 1908.4964864715338990 2.59804432e+00 1.04802163e+00 3.19775504e-03 7.06808364e-01 2.69398732e+00 9.43002891e-03
gen29perm18 1908.4986027164247844 2.59804432e+00 9.44432828e-01 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.43002891e-03
gen29perm42 1908.5024589660267793 2.59804432e+00 9.81066444e-01 3.19775504e-03 4.15047253e-03 2.69398732e+00 9.43002891e-03
gen29perm36 1908.5079174039001373 2.59804432e+00 1.01004908e+00 3.19775504e-03 3.68005825e-03 2.69398732e+00 9.43002891e-03
gen29perm2 1908.5774950623028872 2.59804432e+00 1.00238032e+00 3.19775504e-03 7.44299720e-01 2.80644413e+00 9.47323664e-03
gen29perm9 1909.5897766060281810 2.59804432e+00 9.44432828e-01 3.23933498e-03 7.44299720e-01 2.94129889e+00 9.44912338e-03
gen29perm4 1912.2255937932220604 2.58440573e+00 1.13950051e+00 3.06488200e-03 7.47872388e-01 2.71565895e+00 9.22927968e-03
gen29perm48 1915.9011803169396444 2.50845463e+00 1.00544522e+00 3.19775504e-03 7.53857644e-01 2.82174463e+00 9.43002891e-03
gen29perm10 1916.0953081408511025 2.47886271e+00 9.20869319e-01 3.19775504e-03 3.99461406e-03 2.85857140e+00 9.87491849e-03
gen29perm45 1919.0593111673467774 2.47886271e+00 1.04802163e+00 3.19775504e-03 8.10483540e-01 3.59046335e+00 9.44912338e-03
gen29perm6 1920.5196609113052091 2.59804432e+00 1.09459053e+00 3.19775504e-03 7.15425615e-01 2.69398732e+00 9.24568270e-03
gen29perm32 1921.1895924074053710 2.59804432e+00 9.20869319e-01 3.19775504e-03 3.92714851e-03 2.59451174e+00 9.66195036e-03
gen29perm31 1922.2421194760327126 2.47886271e+00 9.44432828e-01 3.19775504e-03 7.44299720e-01 2.69398732e+00 9.43002891e-03
gen29perm30 1922.4111666218907430 2.59804432e+00 9.81066444e-01 3.19775504e-03 7.47872388e-01 2.87324815e+00 9.22927968e-03
gen29perm21 1923.0275804460468407 2.59804432e+00 9.20869319e-01 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.67619630e-03
gen29perm26 1923.1987269726937484 2.59804432e+00 8.50033425e-01 3.19775504e-03 7.44299720e-01 2.90408723e+00 9.67619630e-03
gen29perm47 1923.2339378019648848 2.59804432e+00 9.44432828e-01 3.19775504e-03 3.79189512e-03 2.94129889e+00 9.67619630e-03
gen29perm12 1929.0390109104462226 2.58956295e+00 9.02046723e-01 3.19775504e-03 3.70767221e-03 2.69398732e+00 9.19805922e-03
gen29perm37 1931.4680217182951765 2.59804432e+00 9.02046723e-01 3.33155166e-03 7.44299720e-01 3.49866948e+00 9.43002891e-03
gen29perm14 1934.0767476957742019 2.59804432e+00 8.84373258e-01 3.06488200e-03 3.97497505e-03 2.50033171e+00 9.43002891e-03
gen29perm22 1938.5390070190915139 2.47886271e+00 1.00238032e+00 2.95427936e-03 7.69902255e-01 2.59451174e+00 9.43002891e-03
gen29perm24 1959.5146318767551747 2.59804432e+00 9.02046723e-01 3.39821890e-03 8.17105589e-01 3.59046335e+00 9.43002891e-03
gen29perm39 1978.4607467110815833 2.59804432e+00 8.09498304e-01 3.13361696e-03 3.92714851e-03 2.69398732e+00 9.80117592e-03
gen29perm40 1984.7941200415243657 2.44233108e+00 1.00238032e+00 3.30241799e-03 7.69902255e-01 2.50465481e+00 9.43002891e-03
gen29perm49 2026.1297353009210838 2.59804432e+00 1.01004908e+00 3.50496881e-03 3.92714851e-03 2.69398732e+00 9.43002891e-03
gen29perm46 2041.8164412552782778 2.59804432e+00 9.20869319e-01 2.89868564e-03 3.92714851e-03 3.11869879e+00 9.43002891e-03
gen29perm43 2041.9998894467989885 2.71665830e+00 1.00238032e+00 2.98890604e-03 3.92714851e-03 2.79833584e+00 9.43002891e-03
gen29perm29 2054.4835463374379287 2.40666162e+00 9.81439775e-01 3.06488200e-03 7.27384052e-01 2.69398732e+00 8.81606463e-03
gen29perm44 2087.4502220887493422 2.59804432e+00 9.98343923e-01 3.19775504e-03 3.92714851e-03 2.69398732e+00 8.67389642e-03
gen29perm20 2090.5685700203939632 2.73573214e+00 9.44432828e-01 3.19775504e-03 7.69902255e-01 2.94129889e+00 1.00226315e-02
gen29perm8 2096.1786398300450855 2.34518009e+00 1.09459053e+00 3.19775504e-03 7.44299720e-01 2.69398732e+00 9.10719888e-03
gen29perm35 2158.9078926417350885 2.77858277e+00 9.27394252e-01 2.92248681e-03 7.69902255e-01 2.69398732e+00 9.43521825e-03
gen29perm19 2276.1456336771234419 2.80112997e+00 1.04802163e+00 3.19775504e-03 7.59613545e-01 3.59046335e+00 1.02949870e-02
gen29perm25 2472.5411792367826820 2.47886271e+00 9.20869319e-01 3.47715762e-03 3.92714851e-03 2.59451174e+00 8.76489793e-03
