Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen50perm5 1880.3305376536679887 2.18183294e+00 1.07492163e+00 3.91809829e-03 3.57582669e-03 2.25765883e+00 1.20832041e-02
gen49perm50 1888.7087582584604206 2.25000544e+00 8.36321711e-01 3.91809829e-03 3.57582669e-03 2.25765883e+00 1.20832041e-02
gen50perm40 1888.7091880171335561 2.25000544e+00 8.39715880e-01 3.91809829e-03 3.57582669e-03 2.25765883e+00 1.20832041e-02
gen49perm33 1888.8294084856422614 2.23536713e+00 9.86956012e-01 3.62551221e-03 3.92714851e-03 2.99098485e+00 1.11636635e-02
gen50perm12 1888.8669396243874417 2.23536713e+00 8.41904262e-01 3.59655428e-03 4.22525048e-03 2.76100635e+00 1.11636635e-02
gen49perm22 1888.8706088731198633 2.23536713e+00 8.41904262e-01 3.59655428e-03 3.92714851e-03 2.61625215e+00 1.11636635e-02
gen48perm42 1888.8706244368470379 2.23536713e+00 8.41904262e-01 3.59655428e-03 3.92714851e-03 2.61625215e+00 1.11636635e-02
gen50perm8 1888.8838835846413531 2.23536713e+00 9.86956012e-01 3.59655428e-03 3.92714851e-03 2.99098485e+00 1.11636635e-02
gen50perm35 1888.8891534926851818 2.23536713e+00 9.86956012e-01 3.59655428e-03 3.92714851e-03 2.61625215e+00 1.11636635e-02
gen50perm48 1889.1498019693431161 2.24389223e+00 8.75303991e-01 3.59655428e-03 4.18179326e-03 2.99098485e+00 1.11078617e-02
gen48perm30 1889.1507674513723032 2.24389223e+00 8.75303991e-01 3.59655428e-03 3.92714851e-03 2.99098485e+00 1.11078617e-02
gen50perm22 1889.1618371683687201 2.24389223e+00 1.07492163e+00 3.59655428e-03 3.92714851e-03 3.12294643e+00 1.11078617e-02
gen50perm47 1889.1915788616156533 2.23536713e+00 7.62512599e-01 3.59655428e-03 3.92714851e-03 3.12294643e+00 1.11078617e-02
gen49perm9 1889.1918388158824200 2.23536713e+00 7.62512599e-01 3.59655428e-03 3.84912510e-03 3.12294643e+00 1.11078617e-02
gen50perm16 1889.2046854577884005 2.24389223e+00 8.75303991e-01 3.59655428e-03 3.92714851e-03 2.61625215e+00 1.11078617e-02
gen50perm24 1889.2077149187011855 2.25000544e+00 8.57932205e-01 3.59655428e-03 3.92714851e-03 3.12294643e+00 1.11078617e-02
gen49perm25 1889.2207882052748573 2.25000544e+00 9.47237575e-01 3.59655428e-03 3.54847705e-03 3.12294643e+00 1.11078617e-02
gen48perm41 1889.2308807451743178 2.23536713e+00 8.75303991e-01 3.59655428e-03 3.92714851e-03 2.99098485e+00 1.11078617e-02
gen49perm44 1889.2657035229108260 2.25000544e+00 8.75303991e-01 3.59655428e-03 3.85713333e-03 2.46828120e+00 1.11078617e-02
gen49perm21 1889.2682004492485248 2.23536713e+00 8.75303991e-01 3.59655428e-03 3.92714851e-03 2.81365813e+00 1.11078617e-02
gen48perm22 1889.2752589851891116 2.23536713e+00 8.23770699e-01 3.59655428e-03 3.54847705e-03 2.76100635e+00 1.11078617e-02
